
benri.client 16 []
bento 35 []
bernhard 7475 ['protobuf']
berry 20 []
berry_module 16 []
bertha 12 []
betahaus.emaillogin 19 "['setuptools'  'Products.PluggableAuthService']"
betahaus.portlet.maillist 10 ['setuptools']
betahaus.pyracont 59 []
betahaus.viewcomponent 70 []
bettercache 17 []
beyondskins.ploneday.site2011 19 "['setuptools'  '# -*- Extra requirements: -*-']"
beyondskins.pythonbrasil.site 14 "['setuptools'  '# -*- Extra requirements: -*-\n          webcouturier.dropdownmenu==2.0']"
bezel 21 "['pygame>=1.7'  'simplejson>=1.9.2']"
bib2bbl 12 []
bib2coins 11 []
bibliograph.core 133 ['setuptools']
bibliograph.rendering 120 "['setuptools'  'bibliograph.core']"
biblio-py 44 []
BicycleParameters 23 []
bidict 231974 []
bigbluebutton 65 []
bigfloat 383 []
bigml 4995 []
bigmler 318 []
bigmouth 14 []
bigsignal 7 []
billiard 2121230 []
billy 88 []
bingpy 12 ['httplib2']
bingtrans 16 []
binomia_translatable_multilevel_menu 14 []
binstr 1004 []
bintrees 65152 []
bioblend 9009 []
bioconvert 72 []
bioext 152 []
biofrills 13 "['biopython >= 1.59'  'Cython >= 0.11']"
bioinf-utilities 34 []
BioNEB 15 []
biopython 82250 []
bioscripts.convert 24 "['setuptools'  'biopython >= 1.49']"
biotools 95 []
biplist 167635 []
bisheng 13 []
bishop 36 []
bisync 14 []
bitbucket-api 199 ['requests']
bitbucket-batch 12 []
bitbucket-cli 99 []
bitcoin-python 87 []
bitcoins 14 []
bitey 8 []
bitfile 20 []
bitlove 11 []
bitlyapi 1234 []
bitlyclip 37 ['bitlyapi']
bitmagic 14 ['# -*- Extra requirements: -*-']
bitmat 8 "['""bitmagic""'  '""swiss""'  '""nose""']"
bitprophet 9 []
bitsyauth 22 "['Paste'  'PasteScript'  'markup'  '# TO DEPRECATE\n                        skimpygimpy']"
bitsyblog 77 "['# -*- Extra requirements: -*-\n          WebOb'  'Paste'  'PasteScript'  'python-dateutil'  'PyRSS2Gen'  'docutils'  'genshi'  'bitsyauth\n#          lxml']"
bjoern 9446 []
bjsonrpc 29 []
bkrypt 17 ['py-bcrypt']
Bla 33 "['""pygments >= 1.5""']"
blackbox 57 []
blah 56 "['""argparse==1.2.1""'  '""catchy>=0.1.0""']"
blake2 29 []
blanc-basic-assets 217 []
blanc-basic-events 34 ['vobject>=0.8.1c']
blanc-basic-news 40 []
blanc-basic-podcast 13 ['hsaudiotag>=1.1.1']
blanc-django-admin-skin 16 []
blanche 8 []
blargs 49 []
BlazeForm 71 []
BlazeUtils 968 []
bleach 10543647 ['html5lib>=0.95']
blekko 11 []
Blend 25 []
blend-lib 14 []
blitz 105 []
Bloch 20 []
blockdiagcontrib-class 18 "['blockdiag>=1.1.0'  'setuptools']"
blockdiagcontrib-excelhogan 9 "['blockdiag>=1.2.0'  'setuptools'  'openpyxl']"
blockdiagcontrib-labeledbox 16 "['blockdiag>=1.1.8'  'setuptools']"
blockdiagcontrib-nationalflags 15 "['blockdiag>=1.2.0'  'setuptools']"
blockdiagcontrib-qb 23 "['blockdiag>=0.9.7'  'setuptools']"
blockdiagcontrib-square 18 "['blockdiag>=1.1.0'  'setuptools']"
blogdegins 52 []
blogdown 23 "['PyYAML'  'Babel'  'blinker'  'Markdown'  'Jinja2>=2.4'  'Werkzeug'  'docutils']"
blogen 25 "['""PyYAML>=3.10""'  '""Markdown>=2.1.1""'  '""jinja2>=2.6""'  '""bottle>=0.11""']"
bloggerfs 8 "['zope.interface'  'gdata'  'fuse-python']"
blogodev 8 ['Blogofile==0.7.1']
Blogofile 30 []
blogofile_blog 17 []
blohg 35 "['docutils>=0.8'  'Flask>=0.8'  'Flask-Babel>=0.7'  'Flask-Script>=0.3'  'Frozen-Flask>=0.7'  'Jinja2>=2.5.2'  'Mercurial>=1.6'  'PyYAML'  'Pygments'  '# TODO: make this dependency optional']"
blosc 39274 []
blueberry 14 "['WebHelpers>=0.6.4'  'Mako>=0.2.4'  'WebOb>=0.9.6.1'  'nose>=0.10.4'  'WebTest>=1.1'  'Routes>=1.10.3']"
bluelet 30 []
Blueprints 1 []
blug 12 []
bmfstock 8 []
BNfinder 42 "['""fpconst""'  '""scipy""']"
boarded 15 []
bob.example.faceverify 61 "['""sphinx""'  '# to generate the documentation\n        ""bob""'  '# base signal proc./machine learning library\n        ""xbob.db.atnt""'  '# the AT&T (ORL) database of images']"
bobik_python_sdk 9 []
bodatools 11 []
boiler 11 []
boilerpipy 38 "['lxml'  'beautifulsoup4'  'urlparse2']"
boilerplate 43 []
boing 12 []
bolacha 117 []
boletin 12 []
bolt 20 "['paramiko >=1.7.6'  'pycrypto >= 1.9'  '""PyYAML>=3.09""'  '""tavutil>=1.0""']"
bombardier_cli 16 []
bombardier_client 22 []
bombardier_server 41 []
bongo 13 "['mock'  'simplejson'  'requests']"
bookcommit 11 []
bookie_api 7 []
book.isbn 13 ['setuptools']
bookreader 25 "['setuptools'  'dspace>=2.0']"
boom 1939 []
boomslang 20 []
BOORL 13 []
BooruPy 18 []
boost_queue 20 []
bootlegger 28 "['pycrypto'  'requests']"
bootmachine 19 "['""python-novaclient>=2.9.0""'  '""Fabric==1.4.3""'  '""Jinja2==2.6""']"
bootstrap_admin 3357 []
bootstrapper 66 []
BoozeLib 32 []
