,setuptools,six,Degree,HIT,Closeness,Betweenness,PageRank,classification
3036,True,False,3,0.0005795710388654959,0.3121107739233613,0.0005442325086737601,0.00023051519958801271,baja
3037,True,False,3,0.0005795710388654959,0.3121107739233613,0.0005442325086737601,0.00023051519958801271,baja
3038,True,False,3,0.0005795710388654959,0.3121107739233613,0.0005442325086737601,0.00023051519958801271,baja
3039,True,False,3,0.0005795710388654959,0.3121107739233613,0.0005442325086737601,0.00023051519958801271,baja
3040,True,False,3,0.0005795710388654959,0.3121107739233613,0.0005442325086737601,0.00023051519958801271,baja
3041,False,False,1,6.4480432742358775e-06,0.22692072223594087,0.0,0.00011308721245766414,baja
3042,False,False,3,3.470723480885871e-07,0.2006620565321593,0.0011542330809710788,0.00037636313807771864,baja
3043,False,False,3,5.923739913354975e-06,0.21816820905582854,0.003362984600311781,0.0002729804452067323,baja
3044,True,False,1,0.0005572486880002166,0.3093173364050281,0.0,0.00010846183174259837,baja
3045,False,False,2,7.011343714946332e-07,0.20514053538632276,0.0005771999991320303,0.0002451511157441612,baja
3046,False,False,1,7.007205231677904e-07,0.20511618491621933,0.0,0.00011967583918331214,baja
3047,False,False,2,8.557202489960686e-07,0.21088617278822183,0.0005771999991320301,0.00023814155451407792,baja
3048,False,False,1,2.078987031899208e-08,0.1741410158043626,0.0,0.00014415496370399076,baja
3049,False,False,2,7.011343714946332e-07,0.20514053538632276,0.0005771999991320303,0.0002451511157441612,baja
3050,False,False,1,1.7034179879634957e-08,0.17020451118706623,0.0,0.00014717722657215732,baja
3051,False,False,1,4.825151720731457e-10,0.15554967142197226,0.0,0.00016433959512588287,baja
3052,False,False,2,1.3927615785745222e-05,0.24205088945604283,0.0005771999991320301,0.00023860918942154272,baja
3053,False,False,1,3.383738183602935e-07,0.19485806267779543,0.0,0.00014447346714576993,baja
3054,False,False,1,7.047914997610639e-06,0.22890466284629618,0.0,0.00011469636338412677,baja
3055,False,False,1,1.0228234648559257e-08,0.18149367711655182,0.0,0.000134198829949148,baja
3056,False,False,3,4.2099865793489363e-07,0.2217660805732405,0.0008029612265484942,0.0003225072242210124,baja
3057,True,False,1,0.0005572486880002166,0.3093173364050281,0.0,0.00010846183174259837,baja
3058,False,False,6,1.5178734162489335e-06,0.23158899682727196,0.004559211993599987,0.00052967844707199,baja
3059,False,False,1,3.758157912819879e-07,0.21254628534153627,0.0,0.00011737035921859448,baja
3060,True,False,1,0.0005572486880002166,0.3093173364050281,0.0,0.00010846183174259837,baja
3061,True,False,3,0.0006703619958986622,0.3106519190699667,3.227913652680549e-05,0.00018723912740284843,baja
3062,True,False,4,0.0007511328464639093,0.3107636543164625,3.270500457627317e-05,0.00022674859153853878,baja
3063,True,False,2,0.0006380195385654638,0.30981645895592824,0.0,0.00014797129587828872,baja
3064,True,False,5,0.0007697462649192048,0.3108195520868225,4.509934497984166e-05,0.0002633118588263678,baja
3065,False,True,1,8.167101806917032e-07,0.20202271582705206,0.0,0.00012796344384193007,baja
3066,False,False,3,2.44306662900327e-06,0.21723569046787222,0.0013153929372733244,0.0002771880164946056,baja
3067,False,False,2,1.6166793910006143e-08,0.16877484981459098,3.7556390920967833e-06,0.00022651909049261818,baja
3068,False,False,1,3.8464962608361265e-06,0.19535371655945846,0.0,9.354248986834674e-05,baja
3069,True,False,1,0.0005572486880002166,0.3093173364050281,0.0,0.00010846183174259837,baja
3070,True,False,2,0.0005627651144938039,0.3119980680376799,0.0008785997566971158,0.00017425559813305275,baja
3071,True,False,2,0.0005620040727495924,0.30937271503476677,3.7549986285731914e-05,0.00016851556070327173,baja
3072,True,False,1,0.0005572486880002166,0.3093173364050281,0.0,0.00010846183174259837,baja
3073,False,False,2,6.30096499177703e-12,0.12761724454980908,4.1259161399150066e-05,0.00024792879567239176,baja
3074,True,False,1,0.0005572486880002166,0.3093173364050281,0.0,0.00010846183174259837,baja
3075,False,False,3,1.1939251764318208e-06,0.2310780021164335,0.0017167381994486921,0.00028115907860380967,baja
3076,False,False,2,1.3827081172088175e-05,0.23948462335620396,0.0005771999991320305,0.00023107780937656831,baja
3077,False,False,1,3.359313127163546e-07,0.1931914919589345,0.0,0.0001417834640990614,baja
3078,True,False,1,0.0005572486880002166,0.3093173364050281,0.0,0.00010846183174259837,baja
3079,False,False,3,1.5766464207242418e-07,0.18785685707742455,0.00021873878420693957,0.00028940665070344466,baja
3080,False,False,1,1.968736342463099e-05,0.24353481781786904,0.0,8.9857522467245e-05,baja
3081,False,False,1,1.2282700580721405e-06,0.21705832179709705,0.0,0.0001207858099240427,baja
3082,False,False,4,0.00020514003572336462,0.2559433162744116,2.311575208911463e-06,0.00019827119884401897,baja
3083,False,False,1,8.16020956741282e-07,0.22570549893243075,0.0,0.00012313982247025,baja
3084,False,False,0,0.0,0.0,0.0,4.334696354520367e-05,baja
3085,False,False,2,7.127877486574245e-07,0.19777970697341077,0.0005771999991320297,0.00023696407555120818,baja
3086,False,False,1,1.7317300677126865e-08,0.16510618190585608,0.0,0.00014363569731845583,baja
3087,False,False,3,8.172019819509535e-07,0.22613378261161943,0.0010421902993527302,0.0003330833752405634,baja
3088,False,False,1,5.553819143178359e-09,0.16559667463600283,0.0,0.00012598783988543592,baja
3089,False,False,2,0.00015968879579368212,0.25520621766750695,2.499699403047016e-07,0.00012364070000785838,baja
3090,True,False,1,0.0005572486880002166,0.3093173364050281,0.0,0.00010846183174259837,baja
3091,False,False,1,5.553819143178359e-09,0.16559667463600283,0.0,0.00012598783988543592,baja
3092,False,False,1,8.672702374550407e-07,0.21838878986751212,0.0,0.00012448362111186327,baja
3093,True,False,1,0.0005572486880002166,0.3093173364050281,0.0,0.00010846183174259837,baja
3094,True,False,1,0.0005572486880002166,0.3093173364050281,0.0,0.00010846183174259837,baja
3095,True,False,1,0.0005572486880002166,0.3093173364050281,0.0,0.00010846183174259837,baja
3096,True,False,1,0.0005572486880002166,0.3093173364050281,0.0,0.00010846183174259837,baja
3097,True,False,3,0.00055840281878908,0.3234745974965724,0.027039746235214043,0.0002670582442068785,baja
3098,False,False,1,1.6289577342687129e-09,0.16057999254964128,0.0,0.00012329009619548378,baja
3099,True,False,1,0.0005572486880002166,0.3093173364050281,0.0,0.00010846183174259837,baja
3100,True,False,1,0.0005572486880002166,0.3093173364050281,0.0,0.00010846183174259837,baja
3101,False,False,1,3.2999551163284715e-07,0.19252423818469053,0.0,0.0001350308249515166,baja
3102,False,False,1,8.552151555251422e-07,0.2108604392711031,0.0,0.00011519160917547733,baja
3103,True,False,1,0.0005572486880002166,0.3093173364050281,0.0,0.00010846183174259837,baja
3104,True,False,2,0.0005810862004488196,0.3100109974572461,4.647128250675516e-05,0.0001665333478656083,baja
3105,True,False,2,0.0005589859174120393,0.31093140797601254,0.0012707108008189942,0.00018068010645406817,baja
3106,False,False,1,2.011900897723036e-07,0.1878772818512302,0.0,0.0001283752309310937,baja
3107,False,False,1,1.5244341324812544e-07,0.1852190685274334,0.0,0.00012869116128242286,baja
3108,False,False,2,4.850081947446629e-10,0.15676324955336024,0.0022142540050535944,0.00025000719212403647,baja
3109,False,False,1,7.047914997610639e-06,0.22890466284629618,0.0,0.00011469636338412677,baja
3110,False,True,2,8.176763116688929e-07,0.20206996431347599,0.000576699247253084,0.0002323647706304217,baja
3111,False,True,3,8.181592345494012e-07,0.20209359684541137,0.001153899246385114,0.0003547160366049667,baja
3112,False,False,1,1.1795760302011515e-08,0.17020451118706623,0.0,0.00012296627567037174,baja
3113,True,False,1,0.0005572486880002166,0.3093173364050281,0.0,0.00010846183174259837,baja
3114,False,False,2,1.742893542070246e-06,0.20774240199888072,0.0001203020562349224,0.00019555276482757919,baja
3115,True,False,1,0.0005572486880002166,0.3093173364050281,0.0,0.00010846183174259837,baja
3116,False,False,1,2.088428408550758e-09,0.1589624488134575,0.0,0.00012734282400537252,baja
3117,False,False,1,1.3926547368060105e-05,0.23895475348498788,0.0,0.00012795036340618323,baja
3118,False,True,1,8.167101806917032e-07,0.20202271582705206,0.0,0.00012796344384193007,baja
3119,False,False,1,4.122529932368191e-10,0.14794531676598371,0.0,0.00016001775753961744,baja
3120,False,False,1,1.7039249231198733e-08,0.1701793677197843,0.0,0.00012122355420787503,baja
3121,True,False,1,0.0005572486880002166,0.3093173364050281,0.0,0.00010846183174259837,baja
3122,True,False,3,0.0005928093418055367,0.31006662476703567,9.387442998441643e-05,0.00022255861172679826,baja
3123,False,False,2,3.383096391401048e-07,0.20640244861761706,0.0011540661636780972,0.000244903249861057,baja
3124,False,False,2,7.863935954351918e-06,0.23955102236455117,0.00047183505697122877,0.00019448922230917313,baja
3125,False,False,2,1.196446976782316e-05,0.23294706117911698,0.00041019207359226583,0.00017888097884811852,baja
3126,False,False,2,5.531329777969406e-06,0.21472523141679897,0.00010896463770853453,0.00018188385670876478,baja
3127,False,False,2,4.1544155868404904e-07,0.2195123602422116,0.0005771999991320303,0.0002539486003814744,baja
3128,False,False,1,1.0093223968540497e-08,0.17998138733743255,0.0,0.00015067622906167483,baja
